scenario,metric,metric_label,unit,lower_is_better,baseline_value,candidate_value,candidate_improvement_percent,better_model
conditional_gaussian,predictive_mean_rmse_m,Predictive-mean RMSE,m,True,0.05934214633299721,0.0593597650672841,-0.029690086010738647,conditional_multivariate_gaussian
conditional_gaussian,crps_m,CRPS,m,True,0.02941265750049405,0.029413236815835436,-0.00196961237309403,conditional_multivariate_gaussian
conditional_gaussian,dimension_normalized_energy_score_m,Energy score,m,True,0.0397455549604796,0.03969625353228045,0.12404262123946559,autoregressive_input_output_hmm
conditional_gaussian,error_jensen_shannon_distance,Marginal JS distance,1,True,0.011535471429395273,0.014766278422045002,-28.00758523329027,conditional_multivariate_gaussian
conditional_gaussian,first_difference_jensen_shannon_distance,First-difference JS distance,1,True,0.01151735235888169,0.014329907847422777,-24.420156654946524,conditional_multivariate_gaussian
conditional_gaussian,residual_lag_one_correlation_mae,Lag-one correlation MAE,1,True,0.005098226357774255,0.0043108392808795006,15.444333413993522,autoregressive_input_output_hmm
conditional_gaussian,residual_spatial_correlation_rmse,Spatial-correlation RMSE,1,True,0.004840668305359721,0.04225435516838615,-772.9033369545474,conditional_multivariate_gaussian
conditional_gaussian,abs_quantile_error_q99_m,Absolute q99 error,m,True,0.0008424586057662609,0.003603941649198611,-327.7885731751336,conditional_multivariate_gaussian
latent_autoregressive,predictive_mean_rmse_m,Predictive-mean RMSE,m,True,0.10971189363124648,0.10963263872275555,0.07223912181965113,autoregressive_input_output_hmm
latent_autoregressive,crps_m,CRPS,m,True,0.051016067556985026,0.049112640512378715,3.731034428477224,autoregressive_input_output_hmm
latent_autoregressive,dimension_normalized_energy_score_m,Energy score,m,True,0.07105375897679318,0.06850373228863091,3.5888695051237707,autoregressive_input_output_hmm
latent_autoregressive,error_jensen_shannon_distance,Marginal JS distance,1,True,0.16527511670866882,0.014757798004685864,91.07076836575497,autoregressive_input_output_hmm
latent_autoregressive,first_difference_jensen_shannon_distance,First-difference JS distance,1,True,0.3539164326054366,0.013401834406279558,96.21327715483034,autoregressive_input_output_hmm
latent_autoregressive,residual_lag_one_correlation_mae,Lag-one correlation MAE,1,True,0.7867051295791576,0.004328702054578117,99.44976816702673,autoregressive_input_output_hmm
latent_autoregressive,residual_spatial_correlation_rmse,Spatial-correlation RMSE,1,True,0.02812987102272889,0.04701425552394177,-67.13285135916311,conditional_multivariate_gaussian
latent_autoregressive,abs_quantile_error_q99_m,Absolute q99 error,m,True,0.0904198294878007,0.004586237370967694,94.92784116388269,autoregressive_input_output_hmm
nonlinear_heavy_tailed,predictive_mean_rmse_m,Predictive-mean RMSE,m,True,0.1100363067314446,0.11003290665133471,0.0030899620415194666,autoregressive_input_output_hmm
nonlinear_heavy_tailed,crps_m,CRPS,m,True,0.053854267544659926,0.05347561031886268,0.7031146147948926,autoregressive_input_output_hmm
nonlinear_heavy_tailed,dimension_normalized_energy_score_m,Energy score,m,True,0.07386877470424484,0.07330059667937802,0.7691721260325296,autoregressive_input_output_hmm
nonlinear_heavy_tailed,error_jensen_shannon_distance,Marginal JS distance,1,True,0.05686181094978857,0.02329470551967654,59.032775899018105,autoregressive_input_output_hmm
nonlinear_heavy_tailed,first_difference_jensen_shannon_distance,First-difference JS distance,1,True,0.32704671439930943,0.014182550213835009,95.66344818969232,autoregressive_input_output_hmm
nonlinear_heavy_tailed,residual_lag_one_correlation_mae,Lag-one correlation MAE,1,True,0.784883703598413,0.0038900457441622643,99.50437934609576,autoregressive_input_output_hmm
nonlinear_heavy_tailed,residual_spatial_correlation_rmse,Spatial-correlation RMSE,1,True,0.014705108994678022,0.07969000641484131,-441.92054233451915,conditional_multivariate_gaussian
nonlinear_heavy_tailed,abs_quantile_error_q99_m,Absolute q99 error,m,True,0.0457804980874052,0.011204689443111648,75.525191050304,autoregressive_input_output_hmm
